Sector,Industry Group,Industry,Sub-industry,Ownership,Employees,Annual Revenue,Which letter most closely represents where you are on this cloud journey
Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & production,Public,1607,3289391965,J (Comfort with the process)
Consumer discretionary,Media,Media,Advertising,Public,146,838243000,J (Comfort with the process)
Consumer discretionary,Media,Media,Broadcasting,Private,10600,5610600000,J (Comfort with the process)
Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,Public,15715,16957000000,J (Comfort with the process)
Government,Australian Government,Australian State,NSW Department,Government,3966,18603000000,J (Comfort with the process)
Consumer discretionary,Consumer services,Diversified consumer services,Education Services,Private,515,145034000,J (Comfort with the process)
Utilities,Utilities,Electric Utilities,Electric Utilities,Government,3025,1579200000,J (Comfort with the process)
Industrials,Commercial & professional services,Professional services,Research & consulting services,Proprietary,6500,1780000000,J (Comfort with the process)
Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,Proprietary,6990,9040000000,J (Comfort with the process)
Industrials,Capital Goods,Construction & engineering,Construction & engineering,Private,4953,1000000000,K
Health Care,Health Care Equipment & Services,Health Care Providers & Servers,Health Care Services,Government,540,654588000,K
Financials,Diversified Financials,Diversified financial services,Consumer Finance,Private,897,403480000,K
Consumer discretionary,Media,Media,Broadcasting,Private,10600,5610600000,K
Health Care,Health Care Equipment & Services,Health Care Providers & Servers,Health Care Services,Government,119784,24669679000,K
Financials,Diversified Financials,Diversified financial services,Other Diversified Financial Services,Public,6500,5813000000,K
Financials,Diversified Financials,Consumer Finance,Consumer Finance,Public,308,1204012000,K
Financials,Insurance,Insurance,Life & Health Insurance,Public,1184,2461200000,K
Financials,Insurance,Insurance,Property & Casualty Insurance,Public,8444,11942000000,L (Change is successful and easier in the future)
Consumer discretionary,Media,Media,Advertising,,700,343921000,L (Change is successful and easier in the future)
Financials,Banks,Commercial Banks,Diversified Banks,Public,48238,40805000000,L (Change is successful and easier in the future)
Industrials,Commercial & professional services,Professional services,Research & consulting services,Private,120,450000000,L (Change is successful and easier in the future)
Government,Australian Government,Australian State,NSW Department,Government,3000,484067000,L (Change is successful and easier in the future)
Consumer discretionary,Consumer services,Diversified consumer services,Education Services,Government,2676,900810000,L (Change is successful and easier in the future)
Financials,Insurance,Insurance,Property & Casualty Insurance,Public,13300,1 556 000 000,L (Change is successful and easier in the future)
Consumer discretionary,Consumer services,Diversified consumer services,Specialised consumer services,Partnership,1491,515800000,L (Change is successful and easier in the future)
Financials,Diversified Financials,Diversified financial services,Other Diversified Financial Services,Public,6500,5813000000,L (Change is successful and easier in the future)
Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco,Proprietary,419,1944504000,L (Change is successful and easier in the future)
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,Proprietary,2024,3769020000,L (Change is successful and easier in the future)
Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged foods & meats,Private,1000,500000000,L (Change is successful and easier in the future)
Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,Public,669,508834000,L (Change is successful and easier in the future)
Financials,Banks,Commercial Banks,Diversified Banks,Public,39060,35523000000,L (Change is successful and easier in the future)
Utilities,Utilities,Multi-Utilities,Multi-Utilities,Public,5360,13814000000,L (Change is successful and easier in the future)
Government,Australian Government,Australian Local,NSW Local Council,Government,1900,746261000,L (Change is successful and easier in the future)
Consumer Staples,Food & staples retailing,Food & staples retailing,Food retail,Public,196000,59984000000,L (Change is successful and easier in the future)
Financials,Diversified Financials,Consumer Finance,Consumer Finance,Trust,1500,556721000,L (Change is successful and easier in the future)
Consumer discretionary,Consumer services,"Hotels, restaurants & leisure",Casinos & gaming,Public,9273,2158100000,M
Consumer discretionary,Media,Media,Movies & entertainment,Partnership,662,555915000,M
Industrials,Commercial & professional services,Commercial Services & Supplies,Diversified commercial & professional services,Public,15901,802841000,M
Financials,Diversified Financials,Diversified financial services,Specialised Finance,Public,958,429589000,M
Health Care,Health Care Equipment & Services,Health Care Providers & Servers,Health Care Services,Other,6319,841539000,M
Consumer discretionary,Media,Media,Cable & Satellite,Partnership,2470,1934402000,M
Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,Public,0,100000000,M
